Dim1,year,month,day,hour,Load (GWh)
Battery,2023,12,31,12,0.0
Battery,2024,12,31,12,0.0
Battery,2025,12,31,12,0.0
Battery,2026,12,31,12,0.0
Battery,2027,12,31,12,0.0
Battery,2028,12,31,12,0.0
Battery,2029,12,31,12,0.0
Battery,2030,12,31,12,0.0
Battery,2031,12,31,12,0.0
Battery,2032,12,31,12,0.0
Battery,2033,12,31,12,0.0
Battery,2034,12,31,12,0.0
Battery,2035,12,31,12,0.0
Battery,2036,12,31,12,0.0
Battery,2037,12,31,12,0.0
Battery,2038,12,31,12,0.0
Battery,2039,12,31,12,0.0
Battery,2040,12,31,12,0.0
Battery,2041,12,31,12,0.0
Battery,2042,12,31,12,0.0
Battery,2043,12,31,12,0.0
Battery,2044,12,31,12,0.0
Battery,2045,12,31,12,0.0
Battery,2046,12,31,12,0.0
Battery,2047,12,31,12,0.0
Battery,2048,12,31,12,0.0
Battery,2049,12,31,12,0.0
Battery,2050,12,31,12,1778.66902292879
Battery,2051,12,31,12,2168.49267791142
Battery,2052,12,31,12,2398.57549671754
Battery,2023,12,31,12,0.0
Battery,2024,12,31,12,0.0
Battery,2025,12,31,12,0.0
Battery,2026,12,31,12,0.0
Battery,2027,12,31,12,0.0
Battery,2028,12,31,12,0.0
Battery,2029,12,31,12,0.0
Battery,2030,12,31,12,0.0
Battery,2031,12,31,12,0.0
Battery,2032,12,31,12,0.0
Battery,2033,12,31,12,0.0
Battery,2034,12,31,12,0.0
Battery,2035,12,31,12,0.0
Battery,2036,12,31,12,0.0
Battery,2037,12,31,12,0.0
Battery,2038,12,31,12,0.0
Battery,2039,12,31,12,0.0
Battery,2040,12,31,12,0.0
Battery,2041,12,31,12,0.0
Battery,2042,12,31,12,0.0
Battery,2043,12,31,12,0.0
Battery,2044,12,31,12,0.0
Battery,2045,12,31,12,0.0
Battery,2046,12,31,12,0.0
Battery,2047,12,31,12,0.0
Battery,2048,12,31,12,0.0
Battery,2049,12,31,12,0.0
Battery,2050,12,31,12,0.0
Battery,2051,12,31,12,0.0
Battery,2052,12,31,12,0.0
